Android TV, XiaoMi/android_tv_metro
Android Wear, romannurik/FORMWatchFace
Business, openshopio/openshop.io-android
Communication, VideoFly/VideoFly
Education, derekcsm/hubble_gallery
Finance, nothingmagical/coins-android
Game, snatik/memory-game
Health&Fitness, meghalagrawal/NightSight
LifeStyle, forezp/banya
Multi-Media, dkim0419/SoundRecorder
News, kinneyyan/36krReader
Personalization, ashutoshgngwr/10-bitClockWidget
Productivity, abhijith0505/CarbonContacts
Social Network, Jeffmen/Git.NB
Tools, cdeange/github-status
Travel, Swati4star/Travel-Mate