is_clone_of,clone_id,participant_id,is_clone
26208,167,6,1
26208,167,16,1
26208,167,24,1
26208,168,6,1
26208,168,16,1
26208,168,24,1
26208,169,6,1
26208,169,16,1
26208,169,24,1
26208,170,6,1
26208,170,16,1
26208,170,24,1
30697,153,16,0
30697,153,20,0
30697,153,24,1
30697,153,29,0
30697,153,6,1
30697,153,13,0
30697,154,6,1
30697,154,13,0
30697,154,16,1
30697,154,20,0
30697,154,24,1
30697,154,29,0
33717,194,6,1
33717,194,13,1
33717,194,16,1
33717,194,20,1
33717,194,24,1
33717,194,29,1
33717,195,6,0
33717,195,13,1
33717,195,16,1
33717,195,20,1
33717,195,24,1
33717,195,29,1
37361,61,6,1
37361,61,22,1
37361,62,6,1
37361,62,22,1
37361,63,6,1
37361,63,22,0
37361,64,6,1
37361,64,22,1
37361,65,6,1
37361,65,22,1
37361,66,6,1
37361,66,22,1
37361,67,6,1
37361,67,22,1
40785,37,6,1
40785,37,27,1
40785,38,6,1
40785,38,27,1
40785,39,6,1
40785,39,27,1
40785,40,6,1
40785,40,27,1
40785,41,6,1
40785,41,27,1
40785,42,6,1
40785,42,27,1
40785,43,6,1
40785,43,27,1
40785,44,6,1
40785,44,27,1
40785,45,6,1
40785,45,27,1
45242,10,6,0
45242,10,17,1
45242,10,24,1
45242,11,6,0
45242,11,17,1
45242,11,24,1
45242,12,6,0
45242,12,17,1
45242,12,24,1
45242,13,17,1
45242,13,24,1
45242,13,6,0
46810,71,6,1
46810,71,26,1
46810,72,6,1
46810,72,26,1
46810,73,6,1
46810,73,26,1
46810,74,6,0
46810,74,26,0
46810,75,6,1
46810,75,26,0
46810,76,6,0
46810,76,26,1
46810,77,6,1
46810,77,26,1
46810,78,6,1
46810,78,26,1
46810,79,6,1
46810,79,26,1
47481,156,6,1
47481,156,29,0
47481,157,6,0
47481,157,29,1
47481,158,6,1
47481,158,29,1
47481,159,6,1
47481,159,29,1
47481,160,6,1
47481,160,29,1
47481,161,6,1
47481,161,29,1
47481,162,6,1
47481,162,29,0
47481,163,6,1
47481,163,29,1
47481,164,6,1
47481,164,29,1
47481,165,6,1
47481,165,29,1
48970,189,7,1
48970,189,17,1
48970,189,24,1
48970,190,7,1
48970,190,17,1
48970,190,24,1
48970,191,24,1
48970,191,7,1
48970,191,17,1
48970,192,7,1
48970,192,17,1
48970,192,24,1
51955,82,7,1
51955,82,13,1
51955,82,17,1
51955,82,21,1
51955,82,25,1
51955,82,29,1
51955,83,7,0
51955,83,13,0
51955,83,17,1
51955,83,21,1
51955,83,25,1
51955,83,29,1
55387,47,7,1
55387,47,15,1
55387,47,17,0
55387,47,26,1
55387,48,7,1
55387,48,15,1
55387,48,17,1
55387,48,26,0
55387,49,7,1
55387,49,15,1
55387,49,17,0
55387,49,26,1
56910,14,7,1
56910,14,17,1
56910,15,7,1
56910,15,17,1
56910,16,7,1
56910,16,17,1
56910,17,7,1
56910,17,17,1
56910,18,7,1
56910,18,17,1
56910,19,7,0
56910,19,17,1
57598,143,7,1
57598,143,29,1
57598,144,7,1
57598,144,29,1
57598,145,7,1
57598,145,29,1
57598,146,7,1
57598,146,29,1
57598,147,7,1
57598,147,29,1
57849,80,7,0
57849,80,13,0
57849,80,17,0
57849,80,21,0
57849,80,25,0
57849,80,30,0
57849,81,7,0
57849,81,13,1
57849,81,17,1
57849,81,21,1
57849,81,25,1
57849,81,30,1
57867,150,17,0
57867,150,26,0
57867,150,7,1
57867,150,15,1
57867,151,7,1
57867,151,15,1
57867,151,17,0
57867,151,26,1
57867,152,7,0
57867,152,15,0
57867,152,17,0
57867,152,26,1
59916,1,7,1
59916,1,26,1
59916,2,7,1
59916,2,26,1
59916,3,7,0
59916,3,26,0
59916,4,7,0
59916,4,26,1
59916,5,7,0
59916,5,26,0
59916,6,7,0
59916,6,26,1
59916,7,7,1
59916,7,26,0
59916,8,7,1
59916,8,26,0
59916,9,7,1
59916,9,26,1
60015,84,8,1
60015,84,30,1
60015,85,8,1
60015,85,30,1
60015,86,8,0
60015,86,30,1
60015,87,8,0
60015,87,30,1
60015,88,8,0
60015,88,30,0
62261,141,8,1
62261,141,13,0
62261,141,17,1
62261,141,21,0
62261,141,25,0
62261,141,30,1
62261,142,25,1
62261,142,30,1
62261,142,8,0
62261,142,13,1
62261,142,17,0
62261,142,21,1
68792,46,8,1
68792,46,13,1
68792,46,15,0
68792,46,18,1
68792,46,21,1
68792,46,23,1
68792,46,25,1
68792,46,26,0
68792,46,28,1
68792,46,30,0
69293,166,21,1
69293,166,23,1
69293,166,25,1
69293,166,26,1
69293,166,30,1
69293,166,8,1
69293,166,13,1
69293,166,15,1
69293,166,18,1
70519,102,8,0
70519,102,14,1
70519,102,18,0
70519,102,21,0
70519,102,25,0
70519,102,30,1
70519,103,30,1
70519,103,8,0
70519,103,14,1
70519,103,18,1
70519,103,21,1
70519,103,25,1
78103,20,8,0
78103,20,25,1
78103,21,8,0
78103,21,25,1
78103,22,8,1
78103,22,25,1
78103,23,8,1
78103,23,25,1
78103,24,8,0
78103,24,25,0
78103,25,8,0
78103,25,25,1
78103,26,8,0
78103,26,25,0
78103,27,25,0
78103,27,8,0
78678,93,8,1
78678,93,10,1
78678,94,8,0
78678,94,10,1
78678,95,8,0
78678,95,10,0
78678,96,8,1
78678,96,10,1
78678,97,8,1
78678,97,10,1
78678,98,8,0
78678,98,10,0
78678,99,8,0
78678,99,10,0
78678,100,10,0
78678,100,8,1
78678,101,8,0
78678,101,10,1
80136,125,8,1
80136,125,26,1
80136,126,8,0
80136,126,26,0
80136,127,8,1
80136,127,26,1
80136,128,8,1
80136,128,26,1
80136,129,8,0
80136,129,26,0
80136,130,8,1
80136,130,26,0
80136,131,26,0
80136,131,8,1
80136,132,8,1
80136,132,26,1
80136,133,8,0
80136,133,26,1
81301,28,10,1
81301,28,28,1
81301,29,10,1
81301,29,28,1
81301,30,10,1
81301,30,28,1
81301,31,10,1
81301,31,28,1
81301,32,10,1
81301,32,28,0
81301,33,28,0
81301,33,10,1
81301,34,10,1
81301,34,28,1
81301,35,10,1
81301,35,28,1
81301,36,10,1
81301,36,28,1
82024,148,10,1
82024,148,14,1
82024,148,18,1
82024,148,21,1
82024,148,25,1
82024,148,30,1
82024,149,21,1
82024,149,25,1
82024,149,30,1
82024,149,10,1
82024,149,14,1
82024,149,18,1
83652,171,10,1
83652,171,28,1
83652,172,10,1
83652,172,28,1
83652,173,10,0
83652,173,28,1
83652,174,10,0
83652,174,28,1
83652,175,10,0
83652,175,28,0
83652,176,10,1
83652,176,28,1
83652,177,28,0
83652,177,10,1
83652,178,10,1
83652,178,28,1
83652,179,10,1
83652,179,28,0
84783,134,10,1
84783,134,23,1
84783,135,10,1
84783,135,23,1
84783,136,10,1
84783,136,23,0
84783,137,10,1
84783,137,23,1
84783,138,10,1
84783,138,23,1
84783,139,23,1
84783,139,10,1
84783,140,10,1
84783,140,23,1
88731,92,10,0
88731,92,14,0
88731,92,15,0
88731,92,18,0
88731,92,21,0
88731,92,23,0
88731,92,26,0
88731,92,27,1
88731,92,30,0
93828,50,20,1
93828,50,22,0
93828,50,23,1
93828,50,27,1
93828,50,28,0
93828,50,10,0
93828,50,14,1
93828,50,15,1
93828,50,18,1
94606,155,10,1
94606,155,14,1
94606,155,15,1
94606,155,18,0
94606,155,20,1
94606,155,22,1
94606,155,23,1
94606,155,27,1
94606,155,28,0
95099,68,22,1
95099,68,28,1
95099,68,11,1
95099,68,16,1
95099,69,11,0
95099,69,16,0
95099,69,22,1
95099,69,28,1
95099,70,11,1
95099,70,16,1
95099,70,22,0
95099,70,28,1
97892,181,23,1
97892,181,27,1
97892,181,28,1
97892,181,11,1
97892,181,14,0
97892,181,16,1
97892,181,18,1
97892,181,20,0
97892,181,22,1
98343,182,11,1
98343,182,23,1
98343,183,11,1
98343,183,23,1
98343,184,11,1
98343,184,23,0
98343,185,11,1
98343,185,23,1
98343,186,11,1
98343,186,23,1
98343,187,11,1
98343,187,23,1
98343,188,23,0
98343,188,11,1
105196,60,11,1
105196,60,14,1
105196,60,16,1
105196,60,20,1
105196,60,22,1
105196,60,24,1
105196,60,27,1
105196,60,28,1
105380,51,11,1
105380,51,29,1
105380,52,11,1
105380,52,29,1
105380,53,11,1
105380,53,29,1
105380,54,29,1
105380,54,11,1
105380,55,11,1
105380,55,29,1
105380,56,11,1
105380,56,29,1
105380,57,11,1
105380,57,29,1
105380,58,11,1
105380,58,29,1
105380,59,11,1
105380,59,29,1
105471,104,11,1
105471,105,11,1
105471,106,11,1
105471,107,11,1
105471,108,11,1
105471,109,11,1
105471,110,11,1
105471,111,11,1
105471,112,11,1
105471,113,11,0
105471,114,11,1
108117,180,11,1
108117,180,14,1
108117,180,16,1
108117,180,20,1
108117,180,22,1
108117,180,24,1
108117,180,27,1
108117,180,29,1
113623,193,15,1
113623,193,16,1
113623,193,20,1
113623,193,22,0
113623,193,24,1
113623,193,27,1
113623,193,29,1
113623,193,11,1
113623,193,13,1
