participant_id,snippet_id,treatment,correctness,tau
8,1,no-adana,1,0.320754717
11,1,no-adana,1,0.547169811
8,2,no-adana,1,0.619496855
10,2,no-adana,0.666666667,0.444444444
14,2,no-adana,1,0.883647799
8,3,no-adana,0.333333333,0.137316562
12,3,no-adana,0.666666667,0.444444444
9,4,no-adana,0.666666667,0.354297694
12,4,no-adana,0.666666667,0.360587002
9,5,no-adana,0.666666667,0.371069182
11,5,no-adana,1,0.380503145
9,6,no-adana,1,0.48427673
13,6,no-adana,1,0.820754717
9,7,no-adana,0.666666667,0.094339623
13,7,no-adana,1,0.773584906
8,8,no-adana,0.666666667,0.062893082
12,8,no-adana,0.666666667,0.389937107
6,9,no-adana,0.333333333,0.087002096
7,9,no-adana,1,0.477987421
13,9,no-adana,1,0.754716981
5,10,no-adana,1,0.383647799
10,10,no-adana,1,0.698113208
12,10,no-adana,1,0.625786164
6,11,no-adana,0.333333333,0.222222222
7,11,no-adana,0.666666667,0.427672956
14,11,no-adana,1,0.757861635
5,12,no-adana,0.666666667,0.044025157
11,12,no-adana,1,0.43081761
14,12,no-adana,1,0.735849057
6,13,no-adana,0.333333333,0.233752621
11,13,no-adana,0.666666667,0.392033543
13,13,no-adana,1,0.849056604
5,14,no-adana,0.666666667,0.459119497
7,14,no-adana,1,0.899371069
10,14,no-adana,0.666666667,0.446540881
6,15,no-adana,1,0.503144654
7,15,no-adana,0,0
5,16,no-adana,0.333333333,0
10,16,no-adana,0.333333333,0.181341719
14,16,no-adana,1,0.691823899
6,17,adana,1,0.757861635
10,17,adana,1,0.877358491
14,17,adana,1,0.619496855
6,18,adana,1,0.688679245
7,18,adana,1,0.713836478
7,19,adana,0.666666667,0.408805031
11,19,adana,1,0.820754717
8,20,adana,1,0.754716981
11,20,adana,1,0.902515723
8,21,adana,1,0.676100629
12,21,adana,1,0.745283019
8,22,adana,1,0.805031447
12,22,adana,1,0.710691824
8,23,adana,1,0.798742138
12,23,adana,1,0.823899371
9,24,adana,1,0.676100629
13,24,adana,0.333333333,0.025157233
5,25,adana,1,0.666666667
9,25,adana,1,0.773584906
12,25,adana,1,0.682389937
6,26,adana,1,0.801886792
9,26,adana,1,0.871069182
13,26,adana,1,0.424528302
5,27,adana,1,0.783018868
9,27,adana,1,0.839622642
13,27,adana,0.333333333,0.160377358
7,28,adana,1,0.833333333
10,28,adana,1,0.79245283
13,28,adana,1,0.462264151
5,29,adana,1,0.817610063
10,29,adana,1,0.864779874
14,29,adana,0.666666667,0.115303983
6,30,adana,1,0.918238994
11,30,adana,1,0.830188679
14,30,adana,0.666666667,0.199161426
5,31,adana,1,0.805031447
10,31,adana,1,0.685534591
14,31,adana,0.666666667,0.174004193
7,32,adana,0.666666667,0.513626834
11,32,adana,1,0.650943396